player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Brayden",xBYVeVi0nD,2026-06-02T19:57:03.896Z,2026-06-02T20:00:05.147Z,100,0,0,-100
"00psy",TsuodpioRy,2026-06-02T18:52:22.898Z,2026-06-02T18:56:42.223Z,7,60,0,53
"clayton",jDaq6q7HFV,2026-06-02T18:32:43.389Z,2026-06-02T20:09:53.855Z,2100,0,0,-2100
"tan chian hok",BkqGg7GmNo,2026-06-02T14:03:05.230Z,2026-06-02T14:58:59.359Z,1155,1977,0,822
"tan chian hok",BkqGg7GmNo,2026-06-02T13:39:06.999Z,2026-06-02T14:00:36.649Z,100,414,0,314
"BANDITBAIK",lpilta3uwb,2026-06-02T13:04:53.906Z,,1690,1500,1823,1633
"toti",kdKRyNDxHl,2026-06-02T12:54:29.970Z,2026-06-02T14:29:47.379Z,1700,930,0,-770
"BANDITBAIK",lpilta3uwb,2026-06-02T12:50:46.590Z,2026-06-02T13:03:21.547Z,500,312,0,-188
"Jovi",O-3L4966Ji,2026-06-02T12:47:11.951Z,2026-06-02T12:48:37.111Z,50,50,0,0
"dragonpeng",0oxsPzcrIa,2026-06-02T09:22:53.690Z,2026-06-02T15:01:35.059Z,925,1098,0,173
"Brayden",xBYVeVi0nD,,2026-06-02T08:52:15.889Z,1,1,0,0
"dragonpeng",0oxsPzcrIa,2026-06-02T08:40:19.168Z,2026-06-02T09:21:34.482Z,150,125,0,-25
"Marco",2nIY32oNp2,2026-06-02T08:31:33.181Z,2026-06-02T10:31:10.334Z,100,141,0,41
"nicccc",blyyg6q3R-,2026-06-02T08:31:33.172Z,,2000,900,818,-282
"Bubulss",DYXLwRPWuA,2026-06-02T08:17:10.408Z,2026-06-02T11:07:34.985Z,100,362,0,262
"tan chian hok",BkqGg7GmNo,2026-06-02T08:11:01.072Z,2026-06-02T13:36:35.994Z,500,962,0,462
"tan chian hok",BkqGg7GmNo,2026-06-02T08:08:03.039Z,2026-06-02T08:09:28.618Z,49,0,0,-49
"nicccc",blyyg6q3R-,2026-06-02T08:02:34.023Z,2026-06-02T08:29:59.703Z,500,0,0,-500
"clayton",jDaq6q7HFV,2026-06-02T07:52:16.294Z,2026-06-02T08:35:28.668Z,382,0,0,-382
"Bokong",oEjeIX4iN0,2026-06-02T07:48:02.352Z,2026-06-02T11:28:50.802Z,90,868,0,778
"BANDITBAIK",lpilta3uwb,2026-06-02T07:44:44.084Z,2026-06-02T12:49:46.389Z,850,1159,0,309
"Brayden",xBYVeVi0nD,2026-06-02T07:43:24.808Z,2026-06-02T08:14:12.279Z,75,0,0,-75
"dragonpeng",0oxsPzcrIa,2026-06-02T07:40:36.801Z,2026-06-02T08:38:42.389Z,1050,900,0,-150
"Bokong",oEjeIX4iN0,2026-06-02T07:25:31.560Z,2026-06-02T07:46:26.155Z,60,32,0,-28
"Bubulss",DYXLwRPWuA,2026-06-02T07:27:44.088Z,2026-06-02T07:37:37.325Z,20,0,0,-20
"clayton",jDaq6q7HFV,2026-06-02T07:17:19.173Z,2026-06-02T07:23:16.838Z,50,100,0,50
"nicccc",blyyg6q3R-,2026-06-02T07:12:01.757Z,2026-06-02T08:00:18.225Z,400,200,0,-200
"BANDITBAIK",lpilta3uwb,2026-06-02T06:47:51.169Z,2026-06-02T07:43:24.804Z,300,0,0,-300
"Jovi",O-3L4966Ji,2026-06-02T06:36:21.692Z,2026-06-02T12:18:02.551Z,520,771,0,251
"sandro",GxLDL7uH6F,2026-06-02T06:36:21.690Z,,3531,2545,1278,292
"00psy",TsuodpioRy,2026-06-02T06:30:25.060Z,2026-06-02T07:39:15.307Z,20,220,0,200
"clayton",jDaq6q7HFV,2026-06-02T06:23:46.071Z,2026-06-02T07:16:14.329Z,50,0,0,-50
"jonny",xwU3xqObHe,2026-06-02T06:17:54.777Z,2026-06-02T08:06:34.607Z,200,99,0,-101
"Marco",2nIY32oNp2,2026-06-02T06:16:18.471Z,2026-06-02T08:29:59.700Z,200,261,0,61
"sandro",GxLDL7uH6F,2026-06-02T06:14:36.937Z,2026-06-02T06:34:38.024Z,380,226,0,-154
"sandro",GxLDL7uH6F,2026-06-02T06:09:57.591Z,2026-06-02T06:13:27.587Z,120,0,0,-120
"Brayden",xBYVeVi0nD,2026-06-02T05:53:47.011Z,2026-06-02T07:21:19.244Z,100,475,0,375
"jonny",xwU3xqObHe,2026-06-02T05:46:21.279Z,2026-06-02T06:16:18.468Z,300,50,0,-250
"Bokong",oEjeIX4iN0,2026-06-02T05:45:00.327Z,2026-06-02T06:25:07.872Z,90,0,0,-90
"toti",kdKRyNDxHl,2026-06-02T05:45:00.308Z,2026-06-02T07:34:41.150Z,199,1300,0,1101
"test hoki",mQB12J5va_,2026-06-02T05:45:00.288Z,2026-06-02T07:10:21.421Z,400,226,0,-174
"jonny",xwU3xqObHe,2026-06-02T05:24:50.172Z,2026-06-02T05:45:00.203Z,40,0,0,-40
"jonny",xwU3xqObHe,2026-06-02T05:21:18.643Z,2026-06-02T05:23:57.668Z,20,0,0,-20
"Bokong",oEjeIX4iN0,2026-06-02T05:10:36.852Z,2026-06-02T05:43:31.433Z,110,0,0,-110
"test hoki",mQB12J5va_,2026-06-02T05:05:27.642Z,2026-06-02T05:41:50.180Z,200,0,0,-200
"arpeggi",15Yb4mRYvF,2026-06-02T05:04:14.216Z,2026-06-02T06:08:12.570Z,570,400,0,-170
"Bull",DYXLwRPWuA,2026-06-02T05:00:52.374Z,2026-06-02T06:13:27.583Z,20,100,0,80
"jonny",xwU3xqObHe,2026-06-02T04:57:25.178Z,2026-06-02T05:20:08.610Z,20,20,0,0
"toti",kdKRyNDxHl,2026-06-02T04:20:44.813Z,2026-06-02T05:43:31.438Z,1060,599,0,-461
"Marco",2nIY32oNp2,2026-06-02T04:19:36.559Z,2026-06-02T06:14:36.933Z,280,140,0,-140
"toti",kdKRyNDxHl,2026-06-02T04:14:46.993Z,2026-06-02T04:19:36.556Z,40,0,0,-40
"claytontanv2",lpilta3uwb,2026-06-02T04:10:53.384Z,2026-06-02T06:46:22.307Z,1440,1022,0,-418
"Clayton",mjMmvlswEG,2026-06-02T04:10:53.382Z,2026-06-02T06:23:46.066Z,650,900,0,250
"jonny",xwU3xqObHe,2026-06-02T04:10:53.386Z,2026-06-02T04:56:33.148Z,100,100,0,0
"Brayden",xBYVeVi0nD,2026-06-02T04:10:53.378Z,2026-06-02T05:52:04.066Z,150,350,0,200
